COVID-19 Vaccinations in the United States
Date generated: Wed Jun 09 2021 15:46:24 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Illinois,14367835,113384,145808,11981117,94549,11483587,116538,7127131,56.2,6761029,68.6,5235388,41.3,5096230,51.7,7822815,5694920,850100,0,406062,4862432,6704265,8358,2047273,2779125,406176,2814,2042317,2646805,404311,2797,4829212,56.2,6761029,68.6,38.1,4691919,47.6,7127131,1808526,88.5,1461043,71.5,675921,723198,60347,1577,3223884,157784,703192,7110962,65.6,5232823,48.3,2047232,2776625,406152,2814,11962286,110376,132571
Indiana,6540190,97148,126644,5226699,77637,5076709,98305,2864349,42.5,2762501,53.5,2456499,36.5,2412669,46.7,3514290,2599000,426900,0,178342,2106876,2928065,13416,968174,1308305,175630,4390,968021,1264753,175512,4383,2280869,42.5,2762501,53.5,33.9,2237157,43.3,2864349,882906,81.3,837314,77.1,417356,395805,21666,2487,1730940,159424,602370,2864158,50.2,2456449,43.1,968164,1308279,175616,4390,5226501,91612,114639
Kansas,3013635,103444,136175,2368293,81292,2307095,104249,1384299,47.5,1337182,60.4,1143777,39.3,1124091,50.8,1518855,1322480,172300,0,75863,1058743,1233033,654,492141,575736,75670,230,492004,556250,75609,228,1068107,47.5,1337182,60.4,36.7,1048482,47.4,1384299,431625,90.8,368714,77.5,179521,175525,13542,126,769909,161920,633800,1384192,56.5,1143758,46.7,492134,575730,75664,230,2368182,96594,122920
Kentucky,4372015,97859,126184,3724124,83357,3627864,104706,2111098,47.3,2041385,58.9,1760081,39.4,1733536,50,2208375,1897340,266300,0,149275,1653179,1921221,449,748743,864766,146132,440,748626,838413,146059,438,1613949,47.3,2041385,58.9,36.1,1587477,45.8,2111098,633989,84.5,566113,75.4,258967,275261,31618,267,1155207,153912,582497,2110798,55.5,1760047,46.2,748736,864756,146115,440,3723112,97818,114867
Louisiana,3955630,85089,111077,3147407,67704,3096974,86965,1692663,36.4,1658017,46.6,1486603,32,1471202,41.3,1988610,1728920,238100,0,110735,1463730,1571852,1090,666344,714186,105535,538,666129,699092,105446,535,1381068,36.4,1658017,46.6,29.7,1365756,38.4,1692663,571956,77.2,539212,72.8,259068,262353,17678,113,1117760,150840,533807,1692543,43.1,1486568,37.9,666336,714175,105519,538,3147273,80220,100824
Massachusetts,9517310,138082,171802,8338103,120974,7965915,143797,4679528,67.9,4425955,79.9,3894534,56.5,3774665,68.1,5260710,3811800,444800,0,271048,3405024,4661859,172,1541936,2080795,271756,47,1537668,1966153,270800,44,3622778,67.9,4425955,79.9,52.6,3503865,63.3,4679528,1113278,95.2,987944,84.5,450742,475102,62082,18,2039192,174389,813910,4668306,77.6,3892356,64.7,1541928,2078630,271751,47,8324664,138358,158180
Maryland,8183720,135365,173715,6324288,104608,6053738,128502,3540416,58.6,3355807,71.2,3023139,50,2938599,62.4,4534920,3209400,439400,0,244334,2542324,3532427,5203,1178546,1605854,237229,1510,1178310,1521675,237115,1499,2785910,58.6,3355807,71.2,46.1,2701484,57.3,3540416,855207,89.1,791448,82.5,385838,358587,46498,525,1591025,165836,853008,3540109,68.6,3023062,58.6,1178518,1605829,237205,1510,6324021,122490,158511
Maine,1806870,134419,164955,1523482,113336,1468903,134101,866222,64.4,827896,75.6,759817,56.5,743827,67.9,933270,770500,103100,0,98785,659414,764986,297,310592,351563,97583,79,310548,335663,97542,74,662234,64.4,827896,75.6,49.3,646285,59,866222,267815,93.9,253054,88.7,116032,116313,20685,24,498856,174875,633401,866134,73.1,759793,64.1,310588,351560,97566,79,1523391,128563,152487
Marshall Islands,51300,87823,112594,30620,52420,30546,67043,16821,28.8,16767,36.8,14153,24.2,14129,31,0,40500,10800,0,385,30235,0,0,13756,9,388,0,13735,8,386,0,13765,28.8,16767,36.8,23.6,13743,30.2,16821,1013,10.2,842,8.5,823,0,19,0,1836,18489,516616,16804,33.7,14146,28.4,13749,9,388,0,30596,61334,102839
Michigan,11388960,114039,145213,8886592,88983,8593271,109567,4949232,49.6,4747081,60.5,4329582,43.4,4236777,54,5989620,4756840,642500,0,302312,3715428,4867522,1330,1753121,2268310,307523,628,1752701,2176089,307362,625,4022059,49.6,4747081,60.5,40.3,3929415,50.1,4949232,1473945,83.5,1384148,78.4,695778,630568,57384,418,2775427,157212,645120,4948972,57.6,4329527,50.4,1753101,2268288,307511,627,8886308,103389,132507
Minnesota,6412880,113711,147882,5532229,98096,5300380,122228,3112516,55.2,2954173,68.1,2674482,47.4,2601366,60,3503760,2564220,344900,0,243254,2224734,3063890,351,1032275,1397094,245002,111,1030748,1325848,244663,107,2429480,55.2,2954173,68.1,43.1,2356703,54.3,3112516,832999,90.5,775416,84.2,327889,404444,43053,30,1552830,168716,696763,3104547,65,2673162,55.9,1032264,1395803,244984,111,5522851,115587,134214
Missouri,5982555,97477,125504,4763929,77621,4637677,97290,2630434,42.9,2544602,53.4,2160362,35.2,2125576,44.6,3214575,2456680,311300,0,152080,1849454,2761999,396,826469,1181143,152680,70,826266,1146693,152550,67,2007682,42.9,2544602,53.4,32.7,1973026,41.4,2630434,838970,79,744784,70.1,341715,373438,29601,30,1593409,150033,563309,2630156,50.2,2160334,41.3,826460,1181136,152668,70,4763637,90984,114264
Northern Mariana Islands,72330,127158,163023,50325,88473,47966,108109,27073,47.6,25443,57.3,23577,41.4,22848,51.5,49530,20200,2600,0,311,7163,42851,0,3213,20048,316,0,3213,19319,316,0,23261,47.6,25443,57.3,40.9,22532,50.8,27073,2635,27.2,2522,26.1,409,2056,57,0,5101,52751,747983,27073,55.7,23577,48.5,3213,20048,316,0,50325,103601,148901
Mississippi,2615615,87886,114843,1813214,60925,1789675,78578,1033418,34.7,1015855,44.6,829459,27.9,823187,36.1,1291875,1159740,164000,0,52949,852288,907081,896,382406,395037,51984,32,382286,388929,51940,32,777475,34.7,1015855,44.6,26.1,771247,33.9,1033418,366658,75.3,320235,65.8,170045,136557,13622,11,668462,137348,537426,1033347,41,829442,32.9,382402,395031,51977,32,1813140,71909,103736
Montana,1093585,102321,130159,893704,83619,870221,103574,493715,46.2,477321,56.8,426212,39.9,419280,49.9,538785,485200,69600,0,33996,409019,450400,289,189070,203930,33126,86,188995,197091,33108,86,393086,46.2,477321,56.8,36.8,386172,46,493715,167716,81.2,154354,74.8,74730,72390,7189,45,315157,152665,529743,493636,53.8,426194,46.4,189057,203928,33123,86,893603,97385,119179
North Carolina,11462550,109291,140003,8287187,79015,8039924,98199,4608953,43.9,4440771,54.2,3874110,36.9,3795043,46.4,6104670,4711580,646300,0,281807,3375979,4629072,329,1510569,2084636,278865,40,1508298,2008879,277826,40,3595245,43.9,4440771,54.2,34.3,3517217,43,4608953,1386581,79.2,1254312,71.6,589788,633815,30681,28,2658018,151792,654594,4602917,51.2,3872737,43.1,1510483,2083367,278847,40,8279788,92146,127567
North Dakota,699640,91809,120236,621080,81500,606898,104298,325057,42.7,315988,54.3,282571,37.1,278606,47.9,357240,305900,36500,0,26417,269575,325088,0,119452,139587,23531,1,119290,135881,23434,1,259040,42.7,315988,54.3,34,255172,43.9,325057,99122,82.7,88121,73.5,43677,41172,3272,0,192223,160393,583787,324678,51,282534,44.3,119448,139556,23529,1,620625,97392,109791
Nebraska,2028190,104848,139076,1736034,89745,1679467,115163,951491,49.2,912575,62.6,839890,43.4,822013,56.4,1111110,809080,108000,0,62970,702188,967708,3168,327733,447976,63254,927,327635,430252,63213,913,776636,49.2,912575,62.6,40.1,758800,52,951491,270685,86.6,253925,81.3,123497,124878,4922,628,528644,169189,649108,951299,58.8,839845,51.9,327715,447962,63241,927,1735795,107320,125398
New Hampshire,1765695,129858,159870,1451012,106715,1392211,126054,826476,60.8,788229,71.4,710914,52.3,692772,62.7,933075,715920,116700,0,54221,624188,772582,21,301929,353466,55495,24,301704,335581,55463,24,655419,60.8,788229,71.4,48.2,637309,57.7,826476,233701,92.1,212353,83.6,92479,107114,12746,14,418687,164926,695528,826064,68.9,710746,59.3,301831,353404,55487,24,1450430,121013,147317
New Jersey,11178885,125857,160995,9389685,105714,9036747,130145,5485974,61.8,5237158,75.4,4510374,50.8,4403202,63.4,5995665,4577220,606000,0,365502,3957322,5066386,475,1812777,2328996,368560,41,1812465,2222299,368404,34,4141814,61.8,5237158,75.4,46.6,4034798,58.1,5485974,1339279,90.8,1193578,80.9,565083,549825,78653,17,2406941,163123,757616,5485387,72,4510285,59.2,1812758,2328970,368516,41,9389106,123243,146736
New Mexico,2309805,110157,142493,2189470,104418,2106154,129930,1229899,58.7,1168534,72.1,1027403,49,1001144,61.8,1162785,1008520,138500,0,65605,973965,1146794,3106,434111,527927,64455,910,433835,502045,64357,907,962948,58.7,1168534,72.1,45.9,936787,57.8,1229899,342255,90.6,305683,81,140829,148766,15563,525,628969,166568,611697,1229755,68.8,1027367,57.5,434096,527913,64448,910,2189316,122484,129225
Nevada,2956650,95990,123838,2571731,83494,2506349,104977,1436491,46.6,1390870,58.3,1172354,38.1,1154513,48.4,1575990,1197360,183300,0,110290,1051007,1410434,0,471022,592807,108515,10,470955,575066,108482,10,1063839,46.6,1390870,58.3,34.5,1046031,43.8,1436491,398653,80.4,352220,71,169237,163563,19415,5,750678,151355,596132,1436442,54.8,1172342,44.7,471019,592800,108513,10,2571697,98089,112772
New York State,23111655,118804,149830,20230340,103993,19591725,127011,11093949,57,10656664,69.1,9467256,48.7,9263314,60.1,12349935,9510220,1251500,0,859326,8303159,11063431,4424,3760971,4892467,812921,897,3760097,4689860,812482,875,8654335,57,10656664,69.1,44.5,8450832,54.8,11093949,2769403,84,2508331,76.1,1211815,1147606,148441,469,5219071,158339,701172,11092836,66.1,9466882,56.4,3760846,4892329,812824,883,20228934,120603,137789
Ohio,12134775,103813,133187,10115980,86542,9805387,107620,5452716,46.6,5245099,57.6,4829962,41.3,4730433,51.9,6389175,5090100,655500,0,399920,4226111,5478887,11062,1941717,2498770,386123,3352,1941458,2399661,385983,3331,4443839,46.6,5245099,57.6,38,4344450,47.7,5452716,1690457,82.6,1593971,77.9,730426,788231,73490,1824,3276374,160111,593005,5452513,54.5,4829919,48.3,1941708,2498751,386108,3352,10115780,101151,121339
Oklahoma,3959785,100071,131785,2998090,75767,2935616,97700,1664422,42.1,1621884,54,1356555,34.3,1337458,44.5,2003625,1733860,222300,0,87223,1397072,1513744,51,615563,654982,85984,26,615395,636103,85934,26,1270571,42.1,1621884,54,32.1,1251524,41.7,1664422,520476,81.9,447652,70.5,236974,195563,15106,9,963297,151669,623459,1664283,50.1,1356522,40.8,615549,654971,85976,26,2997928,90157,119083
Oregon,5480375,129936,163536,4214370,99920,4048686,120814,2365890,56.1,2248279,67.1,2010949,47.7,1961853,58.5,2907255,2263020,310100,0,153864,1705294,2352902,2310,786664,1071203,152630,452,784624,1024730,152054,445,1858319,56.1,2248279,67.1,44.1,1809799,54,2365890,650657,84.9,606622,79.2,276902,288126,41365,229,1210314,157988,715379,2360363,64.7,2010153,55.1,786662,1070411,152628,452,4207975,115357,150239
Pennsylvania,15274355,119312,150229,13007203,101603,12608405,124008,7660201,59.8,7372678,72.5,5831026,45.5,5721195,56.3,7763535,6450320,1060500,0,493254,5493132,7020461,356,2349279,2983975,497498,274,2348150,2875538,497243,264,5333528,59.8,7372678,72.5,41.7,5223952,51.4,7660201,2374650,99.2,1892130,79.1,896437,926941,68606,146,4220788,176354,638197,7658297,69.1,5830541,52.6,2349162,2983645,497460,274,13004849,117356,137836
Puerto Rico,3891250,121842,148466,2818604,88255,2718964,103739,1679290,52.6,1602860,61.2,1247861,39.1,1222263,46.6,1974570,1726280,190400,0,84034,1175736,1558539,295,490265,673370,84203,23,490102,648038,84100,23,1163658,52.6,1602860,61.2,36.4,1138163,43.4,1679290,446573,82.3,371112,68.4,173997,183134,13978,3,799405,147240,716716,1678654,61.5,1247755,45.7,490244,673318,84170,23,2817895,103320,142675
Rhode Island,1487925,140455,174054,1193937,112704,1146427,134106,658185,62.1,626938,73.3,567659,53.6,552122,64.6,824265,602060,61600,0,44759,481614,667524,40,222772,300189,44688,10,222732,284709,44671,10,522971,62.1,626938,73.3,49.4,507451,59.4,658185,176474,94.3,165358,88.4,75946,83833,5575,4,337982,180695,795486,658104,71,567647,61.2,222768,300182,44687,10,1193864,128720,160425
Republic of Palau,24600,137376,176129,24369,136086,24369,174476,13802,77.1,13801,98.8,12482,69.7,12482,89.4,0,20800,3800,0,1729,22639,1,0,10734,21,1727,0,10734,21,1727,0,10755,77.1,13801,98.8,60.1,10755,77,13802,1665,54.7,1607,52.8,1418,8,181,0,3049,100164,808147,13802,90.3,12482,81.6,10734,21,1727,0,24369,159358,160868
South Carolina,5157595,100172,127741,3877911,75318,3791341,93902,2146016,41.7,2087069,51.7,1804772,35.1,1776560,44,2633475,2210820,313300,0,133414,1586052,2157384,1061,697662,976421,130475,214,696406,949852,130088,214,1674297,41.7,2087069,51.7,32.5,1646472,40.8,2146016,777482,83,688391,73.5,291578,373883,22782,148,1448549,154591,550424,2142798,48.5,1803807,40.8,697587,975565,130441,214,3873726,87641,116688
South Dakota,942135,106497,141132,785910,88838,765539,114678,431579,48.8,417216,62.5,381212,43.1,375181,56.2,458055,424780,59300,0,23464,352203,410230,13,168024,189483,23692,13,167983,183504,23681,13,357520,48.8,417216,62.5,40.4,351500,52.7,431579,137649,90.6,128510,84.6,66470,58615,3418,7,259011,170547,620352,431555,58.5,381207,51.6,168023,189480,23691,13,785888,106474,127643
Tennessee,6170000,90348,115997,4929690,72186,4831294,90829,2712829,39.7,2643342,49.7,2213039,32.4,2185390,41.1,3243240,2559160,367600,0,143604,2062158,2714512,9416,900858,1169705,139693,2783,900605,1142459,139552,2774,2073346,39.7,2643342,49.7,30.4,2045838,38.5,2712829,882290,77.2,777421,68,393401,357345,24949,1726,1690914,147886,539622,2712365,46.5,2212951,37.9,900843,1169666,139659,2783,4929154,84467,105731
Texas,30896645,106555,143066,23639670,81528,22786252,105511,13136311,45.3,12542550,58.1,10662171,36.8,10268684,47.5,16493685,12509260,1893700,0,903619,9940638,12794568,845,4356344,5422041,883115,671,4195573,5221941,850524,646,9782365,45.3,12542550,58.1,33.7,9557371,44.3,13136311,3027920,81.1,2634623,70.6,1076453,1339786,218218,166,5750766,154001,827390,13132371,54.5,10660039,44.2,4355473,5420957,882938,671,23635014,98066,128196
